"","post.mean","l.95..CI","u.95..CI","trait","variance_component","model","Distribution"
"1",0.506688912489462,0.336140466475626,0.675345116702374,"antler size","All","Lande and Arnold","Gaussian"
"2",0.439967668151881,0.260092842417988,0.617823048075604,"antler size","All","Multi+ no genetic term","Gaussian"
"3",0.640362618126757,0.392622440667231,0.908069865491387,"antler size","Individual","Multi+ no genetic term","Gaussian"
"4",0.202616323997572,-0.125264737057978,0.502675290425645,"antler size","Year","Multi+ no genetic term","Gaussian"
"5",0.451074706102796,0.21969739235891,0.683709356798758,"antler size","Residual","Multi+ no genetic term","Gaussian"
"6",0.446103672021427,0.260333023031607,0.619725707104256,"antler size","All","Multi+ genetic term","Gaussian"
"7",0.952416069976971,0.556003435684539,1.34836778447954,"antler size","PE","Multi+ genetic term","Gaussian"
"8",0.111709695304881,-0.318068802374289,0.563595580697977,"antler size","Va","Multi+ genetic term","Gaussian"
"9",0.216819191580108,-0.0928200672828104,0.557104259500257,"antler size","Year","Multi+ genetic term","Gaussian"
"10",0.494641335544373,0.262992359357594,0.724233056509401,"antler size","Residual","Multi+ genetic term","Gaussian"
